Phrase to introduce a graph (Task 1)	<b>The graph illustrates</b><br>Untuk membuka deskripsi grafik secara formal — variasi yang lebih akademis dari "show".<br><i>The graph illustrates the population growth in three countries between 1990 and 2020.</i>	ielts writing task1 introduction
Phrase to introduce a chart (Task 1)	<b>The chart shows</b><br>Pembuka standar untuk bar/pie chart, aman dan jelas.<br><i>The chart shows the percentage of households using renewable energy from 2005 to 2015.</i>	ielts writing task1 introduction
Phrase to introduce a table (Task 1)	<b>The table provides information about</b><br>Khusus untuk tabel data — lebih natural daripada "shows" untuk tabel.<br><i>The table provides information about average monthly expenditure of four families in 2018.</i>	ielts writing task1 introduction
Phrase to introduce a diagram (Task 1)	<b>The diagram depicts</b><br>Untuk diagram proses atau siklus — "depicts" lebih akademis dari "shows".<br><i>The diagram depicts the process of paper recycling from collection to final product.</i>	ielts writing task1 introduction
Phrase to introduce a map (Task 1)	<b>The map presents</b><br>Untuk soal peta perubahan lokasi (before/after).<br><i>The map presents the changes that took place in the town of Stokeford between 1930 and 2010.</i>	ielts writing task1 introduction
Sharp increase (Task 1 trend)	<b>A sharp rise</b><br>Kenaikan tajam dan cepat — gunakan untuk lonjakan besar dalam grafik.<br><i>There was a sharp rise in unemployment rates from 2008 to 2009.</i><br><i>The figure experienced a sharp rise of nearly 40%.</i>	ielts writing task1 trends increase
Gradual increase (Task 1 trend)	<b>A gradual increase</b><br>Kenaikan perlahan dan stabil — cocok untuk garis yang naik landai.<br><i>The data shows a gradual increase in tourist numbers throughout the decade.</i>	ielts writing task1 trends increase
Steady growth (Task 1 trend)	<b>A steady growth</b><br>Pertumbuhan konsisten tanpa fluktuasi — sinonim elegan dari "stable rise".<br><i>The country witnessed a steady growth in GDP between 2000 and 2010.</i>	ielts writing task1 trends increase
Strong upward verbs (Task 1)	<b>Surge / soar / climb</b><br>Tiga verba untuk variasi: surge & soar = naik dramatis; climb = naik bertahap.<br><i>Oil prices surged in 2014.</i><br><i>Membership numbers soared to a record high.</i><br><i>Profits climbed steadily over five years.</i>	ielts writing task1 trends increase
Sharp decrease (Task 1 trend)	<b>A sharp fall</b><br>Penurunan tajam — pasangan dari "sharp rise".<br><i>There was a sharp fall in birth rates after 1980.</i>	ielts writing task1 trends decrease
Gradual decrease (Task 1 trend)	<b>A gradual decline</b><br>Penurunan perlahan dan konsisten.<br><i>The graph shows a gradual decline in newspaper readership over the past two decades.</i>	ielts writing task1 trends decrease
Dramatic fall verbs (Task 1)	<b>Plummet / plunge</b><br>Untuk penurunan sangat tajam — efek dramatis, gunakan hemat.<br><i>Stock prices plummeted by 30% in a single week.</i><br><i>Sales plunged after the policy change.</i>	ielts writing task1 trends decrease
Mild fall verbs (Task 1)	<b>Drop / decrease</b><br>Verba netral untuk penurunan — aman digunakan berkali-kali jika divariasikan dengan kata lain.<br><i>The number of visitors dropped slightly in winter months.</i><br><i>Consumption decreased from 50 to 35 units.</i>	ielts writing task1 trends decrease
Stability — no change (Task 1)	<b>Remain stable</b><br>Untuk garis datar — angka tidak berubah signifikan.<br><i>The unemployment rate remained stable at around 5% throughout the period.</i>	ielts writing task1 trends stability
Stability — flatten out (Task 1)	<b>Level off</b><br>Setelah naik/turun, garis menjadi datar — sering muncul di grafik IELTS.<br><i>After rising sharply in the first half, the figure levelled off at 80,000.</i>	ielts writing task1 trends stability
Stability — reach a flat point (Task 1)	<b>Plateau at</b><br>Mencapai titik datar (plateau) pada angka tertentu.<br><i>The percentage plateaued at approximately 60% from 2015 onwards.</i>	ielts writing task1 trends stability
Major fluctuation (Task 1)	<b>Fluctuate considerably</b><br>Naik-turun secara signifikan — untuk garis zig-zag.<br><i>Rainfall levels fluctuated considerably throughout the year.</i>	ielts writing task1 trends fluctuation
Mild variation (Task 1)	<b>Vary</b><br>Bervariasi tapi tidak ekstrem — alternatif lebih halus dari "fluctuate".<br><i>Consumption patterns varied across the four regions surveyed.</i>	ielts writing task1 trends fluctuation
Comparison — opposite trend (Task 1)	<b>In contrast</b><br>Untuk membandingkan dua tren yang berlawanan dalam grafik.<br><i>The number of cyclists rose steadily. In contrast, car usage fell by 20%.</i>	ielts writing task1 comparison
Comparison — alternative phrase (Task 1)	<b>Conversely</b><br>Sinonim formal dari "in contrast" — variasi untuk band 7+.<br><i>Urban populations grew rapidly; conversely, rural areas saw a steady decline.</i>	ielts writing task1 comparison
Comparison — embedded clause (Task 1)	<b>While X, Y...</b><br>Pola kalimat efisien untuk membandingkan dua subjek dalam satu kalimat.<br><i>While men's participation increased by 15%, women's participation remained unchanged.</i>	ielts writing task1 comparison
Approximate number (Task 1)	<b>Approximately</b><br>Untuk angka yang dibulatkan — lebih akademis daripada "about".<br><i>Approximately 45% of respondents preferred online shopping.</i>	ielts writing task1 numbers
Approximate number — informal-academic (Task 1)	<b>Roughly</b><br>Sinonim "approximately" untuk variasi.<br><i>Roughly one-third of households owned two or more cars.</i>	ielts writing task1 numbers
Just above/below a value (Task 1)	<b>Just over / just under</b><br>Untuk angka yang sedikit di atas atau di bawah nilai tertentu.<br><i>Just over 60% of students chose science subjects, while just under 20% selected arts.</i>	ielts writing task1 numbers
Overview opening (Task 1)	<b>Overall, it is clear that...</b><br>Pembuka paragraf overview — wajib ada di Task 1 untuk band 6+.<br><i>Overall, it is clear that consumption of renewable energy rose significantly, while reliance on coal declined.</i>	ielts writing task1 overview
Introduction — common claim (Task 2)	<b>It is often argued that</b><br>Pembuka esai yang menyajikan klaim umum sebelum opini penulis.<br><i>It is often argued that technology has made people less sociable.</i>	ielts writing task2 introduction
Introduction — current debate (Task 2)	<b>There is a growing debate over</b><br>Menunjukkan isu yang sedang ramai diperdebatkan — kuat untuk topik kontemporer.<br><i>There is a growing debate over whether university education should be free for all citizens.</i>	ielts writing task2 introduction
Introduction — time reference (Task 2)	<b>In recent years</b><br>Frasa pembuka netral untuk topik tren modern.<br><i>In recent years, working from home has become increasingly common across many industries.</i>	ielts writing task2 introduction
Introduction — controversial framing (Task 2)	<b>Whether... is a controversial issue</b><br>Membingkai topik sebagai isu kontroversial yang akan dibahas.<br><i>Whether governments should fund space exploration is a controversial issue in modern politics.</i>	ielts writing task2 introduction
Stating opinion — standard (Task 2)	<b>In my opinion</b><br>Cara paling aman dan jelas untuk menyatakan pendapat pribadi.<br><i>In my opinion, the benefits of remote learning outweigh its drawbacks.</i>	ielts writing task2 opinion
Stating opinion — strong (Task 2)	<b>I firmly believe that</b><br>Pendapat dengan keyakinan kuat — gunakan saat argumen Anda solid.<br><i>I firmly believe that stricter regulations on plastic packaging are essential.</i>	ielts writing task2 opinion
Stating opinion — formal (Task 2)	<b>From my perspective</b><br>Variasi formal dari "in my opinion".<br><i>From my perspective, public investment in renewable energy should be a top priority.</i>	ielts writing task2 opinion
Stating opinion — emphatic (Task 2)	<b>It is my conviction that</b><br>Sangat formal dan tegas — cocok untuk kalimat thesis di paragraf pembuka.<br><i>It is my conviction that early childhood education shapes long-term academic success.</i>	ielts writing task2 opinion
Both views — first side (Task 2)	<b>On one hand</b><br>Pembuka untuk menyajikan satu sisi argumen.<br><i>On one hand, public transport reduces traffic congestion and pollution.</i>	ielts writing task2 bothviews
Both views — second side (Task 2)	<b>On the other hand</b><br>Pasangan wajib dari "on one hand".<br><i>On the other hand, private cars offer flexibility that buses and trains cannot match.</i>	ielts writing task2 bothviews
Both views — contrasting opinions (Task 2)	<b>Some argue that... while others claim</b><br>Pola seimbang untuk menyajikan dua kelompok pendapat.<br><i>Some argue that homework reinforces learning, while others claim it causes unnecessary stress.</i>	ielts writing task2 bothviews
Linking — addition (Task 2)	<b>Furthermore</b><br>Untuk menambahkan poin pendukung yang lebih kuat.<br><i>Furthermore, regular exercise has been shown to improve mental health.</i>	ielts writing task2 linking addition
Linking — addition formal (Task 2)	<b>Moreover</b><br>Sinonim "furthermore" — gunakan bergantian untuk variasi.<br><i>Moreover, online courses provide access to education for students in remote areas.</i>	ielts writing task2 linking addition
Linking — addition simple (Task 2)	<b>In addition</b><br>Versi paling netral untuk menambah informasi.<br><i>In addition, smaller class sizes allow teachers to give individual attention to each student.</i>	ielts writing task2 linking addition
Linking — addition emphatic (Task 2)	<b>What is more</b><br>Frasa addition yang sedikit lebih casual tapi tetap akademis — variasi natural.<br><i>What is more, recycling creates new employment opportunities in green industries.</i>	ielts writing task2 linking addition
Linking — contrast standard (Task 2)	<b>However</b><br>Penghubung kontras paling umum dan aman.<br><i>Many people enjoy fast food. However, it poses serious health risks if consumed regularly.</i>	ielts writing task2 linking contrast
Linking — contrast formal (Task 2)	<b>Nevertheless</b><br>Berarti "meskipun demikian" — kontras dengan nuansa konsesi.<br><i>The policy was unpopular. Nevertheless, it produced significant economic benefits.</i>	ielts writing task2 linking contrast
Linking — strong contrast (Task 2)	<b>On the contrary</b><br>Untuk menyangkal pernyataan sebelumnya — bukan sekadar kontras biasa.<br><i>Critics claim renewable energy is inefficient. On the contrary, recent data shows it now rivals fossil fuels.</i>	ielts writing task2 linking contrast
Linking — concession (Task 2)	<b>Despite this</b><br>"Meskipun demikian" — mengakui poin sebelumnya tetapi tetap melanjutkan argumen.<br><i>The vaccine has minor side effects. Despite this, it remains the most effective public health tool available.</i>	ielts writing task2 linking contrast
Linking — cause (Task 2)	<b>Because of</b><br>Diikuti noun phrase, bukan klausa — perhatikan struktur.<br><i>Because of rapid urbanisation, many farmlands have been converted into housing.</i>	ielts writing task2 linking cause
Linking — cause formal (Task 2)	<b>Due to</b><br>Sinonim "because of" — sama-sama diikuti noun phrase.<br><i>Due to rising sea levels, several coastal cities face the threat of flooding.</i>	ielts writing task2 linking cause
Linking — cause result (Task 2)	<b>As a result of</b><br>Menekankan hubungan sebab-akibat secara eksplisit.<br><i>As a result of automation, certain manufacturing jobs have disappeared entirely.</i>	ielts writing task2 linking cause
Linking — effect standard (Task 2)	<b>Therefore</b><br>Penghubung akibat paling umum — selalu diikuti tanda baca yang tepat.<br><i>Smoking damages the lungs; therefore, governments impose heavy taxes on tobacco.</i>	ielts writing task2 linking effect
Linking — effect formal (Task 2)	<b>Consequently</b><br>Sinonim "therefore" yang lebih akademis.<br><i>Many young people prefer digital media. Consequently, traditional newspapers have lost readership.</i>	ielts writing task2 linking effect
Linking — effect chain (Task 2)	<b>This leads to</b><br>Untuk menjelaskan rantai akibat — diikuti noun phrase.<br><i>Excessive screen time disrupts sleep patterns. This leads to reduced productivity at work or school.</i>	ielts writing task2 linking effect
Giving examples — standard (Task 2)	<b>For instance</b><br>Pembuka contoh paling natural — sinonim "for example" untuk variasi.<br><i>Many countries have invested in green energy. For instance, Germany now produces over 40% of its electricity from renewables.</i>	ielts writing task2 example
Giving examples — strong (Task 2)	<b>A case in point is</b><br>Cara elegan untuk memperkenalkan contoh konkret yang mendukung argumen.<br><i>Some cities have successfully reduced car traffic. A case in point is Amsterdam, where cycling infrastructure dominates urban planning.</i>	ielts writing task2 example
Conclusion — standard (Task 2)	<b>In conclusion</b><br>Pembuka paragraf penutup paling aman dan jelas.<br><i>In conclusion, while social media offers many benefits, its negative effects on mental health cannot be ignored.</i>	ielts writing task2 conclusion
Conclusion — informal-academic (Task 2)	<b>To sum up</b><br>Sinonim "in conclusion" — sedikit lebih ringkas.<br><i>To sum up, government investment in education yields long-term economic and social benefits.</i>	ielts writing task2 conclusion
Conclusion — sophisticated (Task 2)	<b>In light of the above</b><br>Frasa penutup band 7+ — menunjukkan refleksi atas argumen sebelumnya.<br><i>In light of the above, it is reasonable to conclude that stricter environmental laws are necessary.</i>	ielts writing task2 conclusion
Conclusion — comprehensive (Task 2)	<b>Taking everything into account</b><br>Penutup yang menyiratkan pertimbangan menyeluruh — kuat untuk band 7+.<br><i>Taking everything into account, the advantages of bilingual education clearly outweigh the challenges.</i>	ielts writing task2 conclusion
Hedging — argumentative (Task 2)	<b>It can be argued that</b><br>Untuk menyatakan klaim tanpa terdengar terlalu absolut — penting untuk band 7+.<br><i>It can be argued that financial incentives are more effective than penalties in changing public behaviour.</i>	ielts writing task2 hedging
Hedging — observation (Task 2)	<b>It seems that</b><br>Hedging halus untuk klaim berdasarkan observasi, bukan fakta absolut.<br><i>It seems that younger generations are more environmentally conscious than their parents.</i>	ielts writing task2 hedging
Hedging — probability (Task 2)	<b>It is likely that</b><br>Untuk prediksi atau klaim probabilistik — hindari "definitely" yang terlalu kuat.<br><i>It is likely that artificial intelligence will reshape most industries within the next decade.</i>	ielts writing task2 hedging
Hedging — trend (Task 2)	<b>There is a tendency for</b><br>Untuk menggambarkan kecenderungan umum — diikuti noun + to-infinitive.<br><i>There is a tendency for urban residents to spend less time outdoors than rural populations.</i>	ielts writing task2 hedging
