Talking about hometown - opening line	<b>Well, I come from...</b><br>Pembuka klasik untuk Part 1 tentang asal. "Well" memberi waktu berpikir 1 detik.<br><i>"Where are you from?" - "Well, I come from Bandung, a city in West Java, Indonesia."</i>	ielts speaking part1 hometown
Describing size and location of hometown	<b>It's a small/big city in...</b><br>Setelah menyebut nama kota, jelaskan ukuran dan lokasinya.<br><i>"It's a fairly big city in the western part of Java, about three hours from Jakarta."</i>	ielts speaking part1 hometown
Saying what you love about your hometown	<b>What I love about my hometown is...</b><br>Struktur cleft sentence — terdengar lebih natural dari "I love...".<br><i>"What I love about my hometown is the cool weather and the friendly people."</i>	ielts speaking part1 hometown
Describing current studies	<b>I'm currently studying...</b><br>Pakai present continuous untuk studi yang sedang berlangsung. "Currently" /ˈkɜːrəntli/.<br><i>"I'm currently studying in my final year of high school, preparing for university."</i>	ielts speaking part1 studies
Talking about recently finished studies	<b>I've just finished...</b><br>Present perfect untuk hal yang baru saja selesai dan masih relevan.<br><i>"I've just finished my national exam and I'm waiting for the results."</i>	ielts speaking part1 studies
Future study plans	<b>I'm planning to study...</b><br>Untuk rencana yang sudah diputuskan tapi belum dimulai.<br><i>"I'm planning to study computer science at university next year, hopefully abroad."</i>	ielts speaking part1 studies
Talking about hobbies casually	<b>In my free time...</b><br>Frasa pembuka standar tapi efektif. Ucapkan dengan rileks.<br><i>"In my free time, I usually play football with my friends or watch movies at home."</i>	ielts speaking part1 hobbies
Expressing strong interest in a hobby	<b>I'm really into...</b><br>Idiom yang sangat natural — lebih hidup daripada "I like".<br><i>"I'm really into photography these days. I take my camera everywhere I go."</i>	ielts speaking part1 hobbies
Highlighting favorite part of a hobby	<b>What I enjoy most is...</b><br>Cleft sentence lagi — band 6.5+ menggunakan ini natural.<br><i>"What I enjoy most is the feeling of being outdoors and capturing moments."</i>	ielts speaking part1 hobbies
Opening daily routine description	<b>On a typical day...</b><br>Lebih elegan daripada "Every day". "Typical" /ˈtɪpɪkəl/.<br><i>"On a typical day, I wake up around six and have breakfast with my family."</i>	ielts speaking part1 routine
Describing morning routine	<b>I usually start by...</b><br>Pakai gerund (-ing) setelahnya. Menunjukkan grammar control.<br><i>"I usually start by checking my phone and then making a cup of tea."</i>	ielts speaking part1 routine
Describing evening habits	<b>In the evening I tend to...</b><br>"Tend to" = cenderung — lebih halus daripada "always".<br><i>"In the evening I tend to relax with a book or chat with my family before bed."</i>	ielts speaking part1 routine
Opening a Part 2 long turn	<b>I'd like to talk about...</b><br>Pembuka aman dan jelas untuk cue card. Ucapkan tenang.<br><i>"I'd like to talk about my grandfather, who is the most inspiring person I know."</i>	ielts speaking part2 opening
Identifying the topic clearly	<b>The thing/place/person I want to describe is...</b><br>Sangat berguna jika lupa pembuka — selalu cocok dengan cue card.<br><i>"The place I want to describe is a small beach in Bali called Nyang Nyang."</i>	ielts speaking part2 opening
Casual storytelling opener	<b>Let me tell you about...</b><br>Lebih conversational, cocok untuk topik personal.<br><i>"Let me tell you about an experience that completely changed my perspective."</i>	ielts speaking part2 opening
Describing the type of place/thing	<b>It's the kind of place/thing that...</b><br>Memungkinkan deskripsi panjang dengan relative clause.<br><i>"It's the kind of place that makes you forget about all your problems the moment you arrive."</i>	ielts speaking part2 description
Highlighting uniqueness	<b>What makes it special is...</b><br>Cleft sentence untuk menekankan keunikan — examiner suka ini.<br><i>"What makes it special is the way the light hits the water at sunset."</i>	ielts speaking part2 description
Describing reputation or fame	<b>It's particularly known for...</b><br>"Particularly" /pəˈtɪkjʊləli/ — kata penghubung band tinggi.<br><i>"It's particularly known for its incredible street food and warm atmosphere."</i>	ielts speaking part2 description
Starting a story or memory	<b>It all started when...</b><br>Pembuka narasi klasik. Past simple wajib setelahnya.<br><i>"It all started when I was about ten years old and visited my uncle's farm."</i>	ielts speaking part2 story
Setting up the main event	<b>What happened was...</b><br>Cleft yang membuat audiens penasaran — sangat natural.<br><i>"What happened was, I got completely lost on the way back to the hotel."</i>	ielts speaking part2 story
Showing a turn in the story	<b>At first... but then...</b><br>Struktur kontras klasik untuk story development.<br><i>"At first I was really nervous, but then I realised everyone was just as scared as me."</i>	ielts speaking part2 story
Describing the resolution	<b>Eventually...</b><br>/ɪˈventʃuəli/ — penanda waktu band tinggi, hindari "finally" terus.<br><i>"Eventually, after about two hours of walking, I found my way back to the main road."</i>	ielts speaking part2 story
Reflective closing	<b>Looking back...</b><br>Ideal untuk akhir Part 2 — menunjukkan refleksi dewasa.<br><i>"Looking back, I realise that experience taught me to be more independent."</i>	ielts speaking part2 reflection
Summing up an experience	<b>All in all...</b><br>Idiom penutup yang sangat natural. Ucapkan satu napas.<br><i>"All in all, it was one of the best holidays I've ever had with my family."</i>	ielts speaking part2 reflection
Emotional closing line	<b>It's an experience I'll never forget.</b><br>Penutup emosional yang clean — examiner tahu Anda selesai.<br><i>"It really moved me, and honestly, it's an experience I'll never forget."</i>	ielts speaking part2 reflection
Stating a personal opinion	<b>Personally, I believe...</b><br>Pembuka opini paling aman. "Personally" /ˈpɜːsənəli/.<br><i>"Personally, I believe technology has done more good than harm in education."</i>	ielts speaking part3 opinion
Formal opinion phrase	<b>In my view...</b><br>Sedikit lebih formal — bagus untuk Part 3 yang abstrak.<br><i>"In my view, governments should invest more in renewable energy sources."</i>	ielts speaking part3 opinion
Softer opinion delivery	<b>I'd say that...</b><br>"I would say" disingkat — terdengar fluent dan tidak terlalu pasti.<br><i>"I'd say that most young people today value experience over material things."</i>	ielts speaking part3 opinion
Casual opinion phrase	<b>If you ask me...</b><br>Idiomatic — menunjukkan natural English untuk band 6.5+.<br><i>"If you ask me, social media has changed the way we communicate forever."</i>	ielts speaking part3 opinion
Strong agreement phrase	<b>I couldn't agree more.</b><br>Setuju 100%. Hati-hati, pakai sekali saja per tes.<br><i>"That's a really important point — I couldn't agree more with what you're saying."</i>	ielts speaking part3 agreement
Single-word strong agreement	<b>Absolutely.</b><br>/ˈæbsəluːtli/ — pendek tapi powerful. Diikuti elaborasi.<br><i>"Absolutely. I think education is the foundation of any successful society."</i>	ielts speaking part3 agreement
Polite disagreement opener	<b>I'm not sure I agree...</b><br>Cara halus untuk tidak setuju — sangat British dan sopan.<br><i>"I'm not sure I agree with that, actually. I think the situation is more complex."</i>	ielts speaking part3 disagreement
Acknowledging then disagreeing	<b>I see your point, but...</b><br>Klasik diplomatic — examiner suka melihat balanced thinking.<br><i>"I see your point, but I'd argue that face-to-face communication is still essential."</i>	ielts speaking part3 disagreement
Partial disagreement	<b>I'd have to disagree to some extent.</b><br>Frasa band tinggi — menunjukkan nuance dalam berpendapat.<br><i>"I'd have to disagree to some extent. While that's true for adults, it's different for kids."</i>	ielts speaking part3 disagreement
Speculating about the future	<b>It's likely that...</b><br>/ˈlaɪkli/ — modal alternatif yang sophisticated.<br><i>"It's likely that remote work will become the norm rather than the exception."</i>	ielts speaking part3 speculation
Polite speculation	<b>I would imagine...</b><br>Sangat British — terdengar thoughtful, tidak overconfident.<br><i>"I would imagine that future generations will rely even more heavily on AI."</i>	ielts speaking part3 speculation
Conditional speculation	<b>It probably depends on...</b><br>Phrase yang menyelamatkan saat tidak yakin — sangat fleksibel.<br><i>"It probably depends on the country and how the government handles the issue."</i>	ielts speaking part3 speculation
Generalizing opinion	<b>On the whole...</b><br>Idiom band tinggi untuk overview. Bukan "in general" terus.<br><i>"On the whole, I think people today are more open-minded than previous generations."</i>	ielts speaking part3 generalizing
Sophisticated generalization	<b>By and large...</b><br>Idiom — menunjukkan vocabulary range. Pronounce /baɪ ən lɑːdʒ/.<br><i>"By and large, young people are more environmentally aware these days."</i>	ielts speaking part3 generalizing
Standard generalization phrase	<b>Generally speaking...</b><br>Aman dan natural. Pakai di awal kalimat dengan koma.<br><i>"Generally speaking, big cities offer more opportunities but less peace of mind."</i>	ielts speaking part3 generalizing
Buying time politely	<b>That's a great question.</b><br>Pujian halus untuk examiner sambil cari ide. Jangan overuse.<br><i>"That's a great question. I haven't really thought about it before, but..."</i>	ielts speaking fillers
Asking for thinking time	<b>Let me think for a moment...</b><br>Jujur dan natural — jauh lebih baik daripada diam atau "ehmmm".<br><i>"Hmm, let me think for a moment... I suppose the main reason would be cost."</i>	ielts speaking fillers
Expressing the question is interesting	<b>Hmm, that's an interesting one.</b><br>Variasi filler — "one" merujuk ke question. Sangat conversational.<br><i>"Hmm, that's an interesting one. I'd probably say it's because of cultural differences."</i>	ielts speaking fillers
Adding extra information	<b>On top of that...</b><br>Idiomatic linker — lebih hidup daripada "additionally".<br><i>"It's affordable, and on top of that, the quality is really impressive."</i>	ielts speaking discourse
Adding emphasis to next point	<b>What's more...</b><br>Penghubung band tinggi untuk menambah poin penting.<br><i>"It saves time, and what's more, it actually saves money in the long run."</i>	ielts speaking discourse
Clarifying your previous point	<b>What I mean is...</b><br>Pakai jika merasa belum jelas — menunjukkan self-awareness.<br><i>"What I mean is, it's not about the money — it's about the experience itself."</i>	ielts speaking discourse
Rephrasing for clarity	<b>In other words...</b><br>Discourse marker klasik untuk paraphrase — examiner reward ini.<br><i>"They're investing in the future. In other words, they're thinking long-term."</i>	ielts speaking discourse
Self-correcting smoothly	<b>Or rather...</b><br>Cara elegan untuk koreksi diri tanpa panik.<br><i>"It happened five years ago, or rather, six years ago — I just remembered."</i>	ielts speaking discourse
Refining your statement	<b>I should say...</b><br>Halus untuk memperbaiki atau memperjelas pernyataan sebelumnya.<br><i>"It was difficult — I should say, it was challenging but very rewarding."</i>	ielts speaking discourse
Closing your turn naturally	<b>So yeah, that's pretty much it.</b><br>Penutup conversational yang sinyalkan ke examiner Anda selesai.<br><i>"...and I still keep in touch with him today. So yeah, that's pretty much it."</i>	ielts speaking part2 closing
